X,Y,Z,Yaw,Pitch,Roll
-0.022589, 0.341842, -0.057117, -98.6605, -11.7677, 18.5424
-0.021239, 0.337378, -0.055623, -98.2744, -11.669, 18.0774
-0.019526, 0.331555, -0.053914, -97.7045, -11.4864, 17.494
-0.017313, 0.324537, -0.051897, -96.9312, -11.2876, 16.7991
-0.014742, 0.316215, -0.049798, -95.9572, -11.1199, 16.0212
-0.012155, 0.306803, -0.047536, -94.788, -11.0012, 15.1706
-0.009285, 0.296286, -0.045188, -93.4677, -10.892, 14.2459
-0.006287, 0.284715, -0.042781, -92.0551, -10.7554, 13.2787
-0.003357, 0.272014, -0.040307, -90.5495, -10.5793, 12.2277
-0.000276, 0.25834, -0.037648, -88.857, -10.2798, 11.0485
0.002719, 0.242939, -0.034391, -86.711, -9.79946, 9.66036
0.005672, 0.226248, -0.030825, -84.1484, -9.12438, 8.27347
0.00826, 0.208263, -0.027155, -81.3516, -8.35358, 6.88873
0.010466, 0.189701, -0.023599, -78.5504, -7.55772, 5.58753
0.01224, 0.171029, -0.020381, -75.9532, -6.75112, 4.41361
0.013543, 0.152888, -0.017573, -73.6621, -5.97821, 3.37301
0.014378, 0.13519, -0.015133, -71.6891, -5.26083, 2.48264
0.015001, 0.118086, -0.012956, -70.0492, -4.6073, 1.74918
0.015324, 0.101574, -0.01085, -68.6675, -3.94127, 1.13044
0.015415, 0.085862, -0.008762, -67.5573, -3.23473, 0.708293
0.015541, 0.0709124, -0.006764, -66.6625, -2.45855, 0.412632
0.015559, 0.0569113, -0.004715, -65.9369, -1.58364, 0.188707
0.015496, 0.0435687, -0.002866, -65.3392, -0.710108, -0.0230882
0.0153, 0.0314215, -0.001002, -64.8617, 0.124151, -0.192162
0.015198, 0.0204885, 0.000709999, -64.4749, 0.881854, -0.34467
0.01513, 0.0106793, 0.002312, -64.1156, 1.57868, -0.510885
0.015222, 0.0020377, 0.00371, -63.7962, 2.19984, -0.67296
0.015417, -0.0053609, 0.004996, -63.517, 2.73351, -0.822864
0.015706, -0.0116173, 0.006209, -63.2372, 3.26609, -0.971733
0.016051, -0.0168186, 0.007217, -62.9492, 3.73606, -1.05575
0.016362, -0.0210071, 0.00812, -62.6954, 4.16425, -1.05315
0.016165, -0.0242539, 0.009648, -62.4896, 4.8936, -0.992981
0.015031, -0.026851, 0.012556, -62.3329, 6.42371, -0.941013
0.012271, -0.0288165, 0.016537, -62.2434, 8.64109, -1.00561
0.008358, -0.0305653, 0.020699, -62.1524, 11.069, -1.11192
0.003374, -0.0319503, 0.025074, -62.0735, 13.7424, -1.22378
-0.002775, -0.0327743, 0.029096, -62.0513, 16.3241, -1.32268
-0.01003, -0.0332173, 0.032907, -62.0804, 18.9108, -1.42645
-0.018296, -0.0332623, 0.036582, -62.1341, 21.602, -1.53559
-0.027623, -0.0328683, 0.040326, -62.2332, 24.5354, -1.66324
-0.038109, -0.0320203, 0.04403, -62.3822, 27.6856, -1.84446
-0.049291, -0.0309633, 0.04695, -62.5299, 30.7242, -2.01324
-0.060962, -0.0293469, 0.049341, -62.6604, 33.6403, -2.09106
-0.072389, -0.0274294, 0.051296, -62.7612, 36.422, -2.03705
-0.083484, -0.0252108, 0.05293, -62.85, 38.9763, -1.97174
-0.09415, -0.0227333, 0.054237, -63.0099, 41.4075, -1.96865
-0.104308, -0.020099, 0.055115, -63.176, 43.6642, -1.95471
-0.113976, -0.0176444, 0.055575, -63.3126, 45.742, -2.00316
-0.123392, -0.0152009, 0.055684, -63.3377, 47.8544, -2.00131
-0.132437, -0.0129317, 0.055474, -63.2819, 49.9823, -1.98795
-0.141069, -0.0105493, 0.055033, -63.1513, 51.9887, -1.8954
-0.149299, -0.0078247, 0.054492, -63.0412, 53.837, -1.81022
-0.15686, -0.0051244, 0.05392, -62.9196, 55.527, -1.67756
-0.1641, -0.0020054, 0.053377, -62.7661, 57.09, -1.46629
-0.170665, 0.001156, 0.052814, -62.5235, 58.6704, -1.09532
-0.176948, 0.004638, 0.051888, -62.3442, 60.206, -0.708968
-0.182882, 0.0083178, 0.050921, -62.087, 61.5687, -0.20905
-0.188661, 0.0120418, 0.049645, -61.7854, 62.8094, 0.343812
-0.194301, 0.0158788, 0.048137, -61.4657, 63.9597, 0.916488
-0.199671, 0.0194138, 0.046458, -61.0582, 65.0415, 1.50336
-0.205091, 0.023038, 0.044692, -60.4971, 66.1653, 2.1936
-0.210265, 0.0266101, 0.042937, -59.5646, 67.2978, 3.20198
-0.215629, 0.0300226, 0.041012, -58.5913, 68.4815, 4.19915
-0.220634, 0.0333077, 0.03853, -57.6425, 69.5043, 5.15651
-0.225507, 0.0367647, 0.035738, -56.9597, 70.2992, 5.88897
-0.230408, 0.0402777, 0.032922, -56.3474, 71.018, 6.65869
-0.234903, 0.0439562, 0.030306, -55.8074, 71.5538, 7.39607
-0.239141, 0.0474912, 0.027737, -55.2648, 71.9445, 8.13161
-0.242708, 0.0507526, 0.025294, -55.0515, 72.3633, 8.56843
-0.245403, 0.0537403, 0.023172, -55.2309, 72.6188, 8.6571
